NumberOfSpecs,6,1024,1024
Spec,0,Tahoma,78,64,190,46
198,ABC,-1,29,1,410,803
199,ABC,1,18,0,440,803
200,ABC,2,15,1,459,803
201,ABC,2,15,1,475,803
202,ABC,2,15,1,491,803
203,ABC,2,15,1,507,803
204,ABC,1,10,1,523,803
205,ABC,1,10,1,534,803
206,ABC,0,12,0,545,803
207,ABC,1,10,1,558,803
208,ABC,0,21,1,569,803
209,ABC,2,17,2,591,803
210,ABC,1,21,1,609,803
211,ABC,1,21,1,631,803
212,ABC,1,21,1,653,803
213,ABC,1,21,1,675,803
214,ABC,1,21,1,697,803
215,ABC,3,17,3,719,803
216,ABC,1,21,1,737,803
217,ABC,2,17,2,759,803
218,ABC,2,17,2,777,803
219,ABC,2,17,2,795,803
220,ABC,2,17,2,813,803
221,ABC,-1,20,-1,831,803
222,ABC,2,15,1,852,803
223,ABC,2,15,1,868,803
224,ABC,0,15,2,884,803
225,ABC,0,15,2,900,803
226,ABC,0,15,2,916,803
227,ABC,0,15,2,932,803
228,ABC,0,15,2,948,803
229,ABC,0,15,2,964,803
230,ABC,0,28,0,980,803
231,ABC,0,15,0,0,843
232,ABC,0,17,0,16,843
233,ABC,0,17,0,34,843
234,ABC,0,17,0,52,843
235,ABC,0,17,0,70,843
236,ABC,0,7,0,88,843
237,ABC,2,7,-2,96,843
238,ABC,-1,10,-2,104,843
239,ABC,-1,9,-1,115,843
240,ABC,0,17,0,125,843
241,ABC,2,14,2,143,843
242,ABC,0,17,0,158,843
243,ABC,0,17,0,176,843
244,ABC,0,17,0,194,843
245,ABC,0,17,0,212,843
246,ABC,0,17,0,230,843
247,ABC,2,19,2,248,843
248,ABC,0,17,0,268,843
249,ABC,2,14,2,286,843
250,ABC,2,14,2,301,843
251,ABC,2,14,2,316,843
252,ABC,2,14,2,331,843
253,ABC,0,16,0,346,843
254,ABC,2,15,1,363,843
Spec,3,Courier New,28,20,190,46
32,ABC,0,1,13,379,843
33,ABC,5,4,5,381,843
34,ABC,3,9,2,386,843
35,ABC,2,10,2,396,843
36,ABC,2,10,2,407,843
37,ABC,2,10,2,418,843
38,ABC,2,10,2,429,843
39,ABC,5,4,5,440,843
40,ABC,6,5,3,445,843
41,ABC,3,5,6,451,843
42,ABC,2,10,2,457,843
43,ABC,1,12,1,468,843
44,ABC,3,5,6,481,843
45,ABC,2,10,2,487,843
46,ABC,5,4,5,498,843
47,ABC,2,10,2,503,843
48,ABC,2,10,2,514,843
49,ABC,2,10,2,525,843
50,ABC,2,10,2,536,843
51,ABC,2,10,2,547,843
52,ABC,2,10,2,558,843
53,ABC,2,10,2,569,843
54,ABC,2,11,1,580,843
55,ABC,2,10,2,592,843
56,ABC,2,10,2,603,843
57,ABC,2,10,2,614,843
58,ABC,5,4,5,625,843
59,ABC,3,6,5,630,843
60,ABC,1,12,1,637,843
61,ABC,1,12,1,650,843
62,ABC,1,12,1,663,843
63,ABC,3,9,2,676,843
64,ABC,2,10,2,686,843
65,ABC,0,14,0,697,843
66,ABC,1,12,1,712,843
67,ABC,1,12,1,725,843
68,ABC,1,12,1,738,843
